,ZTF_Name,Version,subject_ids,Ia,Ia-norm,Ia-91T,Ia-91bg,Ia-csm,Ia-02cx,Ia-03fg,Ib,Ib-norm,IIb,Ibn,Ic,Ic-norm,Ic-BL,Ic-SLSN,II,II-norm,IIn,NotSN,AGN,Gal,LBV,M-star,QSO,C-star,TDE,NoMatch,rlap,z
0,AT2018hrg,AT2018hrg_20181103_P60_v1.ascii,53623564,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,5.06,-0.0005
1,SN2017iuk,SN2017iuk_20181204_Keck1_v1.ascii,53623565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,5.66,0.0378
2,ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v1.ascii,53623566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,17.99,-0.0
3,ZTF17aaajnki,ZTF17aaajnki_20180320_P60_v2.ascii,53623567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,18.27,-0.0004
4,ZTF17aaaobyl,ZTF17aaaobyl_20180826_P60_v2.ascii,53623568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,7.77,0.0021
5,ZTF17aaapufz,ZTF17aaapufz_20190304_P200_v1.ascii,53623569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,28.52,0.0025
6,ZTF17aaaukqn,ZTF17aaaukqn_20180904_P60_v1.ascii,53623570,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,6.95,0.3262
7,ZTF17aaawgkc,ZTF17aaawgkc_20180822_P60_v1.ascii,53623571,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.24,0.2808
8,ZTF17aaayjzy,ZTF17aaayjzy_20191214_P60_v1.ascii,53623572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,0,0,0,0,0,0,20.67,0.0479
9,ZTF17aaazdba,ZTF17aaazdba_20190224_P60_v1.ascii,53623573,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0.0401
10,ZTF17aaazdba,ZTF17aaazdba_20190303_P60_v1.ascii,53623574,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46,0.0429
11,ZTF17aaazdba,ZTF17aaazdba_20190304_P200_v1.ascii,53623575,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,8.48,0.0747
12,ZTF17aaazdba,ZTF17aaazdba_20190304_P60_v1.ascii,53623576,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.08,0.0404
13,ZTF17aaazdba,ZTF17aaazdba_20190309_Gemini_N_v2.ascii,53623577,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.65,0.1975
14,ZTF17aaazdba,ZTF17aaazdba_20190310_DCT_v1.ascii,53623578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,5.94,0.023
15,ZTF17aaazdba,ZTF17aaazdba_20190315_P60_v1.ascii,53623579,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,4.27,0.2648
16,ZTF17aaazdba,ZTF17aaazdba_20190316_NOT_v1.ascii,53623580,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.03,0.0332
17,ZTF17aaazdba,ZTF17aaazdba_20190319_P60_v1.ascii,53623581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,9,0,5.13,0.0245
18,ZTF17aaazdba,ZTF17aaazdba_20190323_Gemini_N_v1.ascii,53623582,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,6.25,0.2938
19,ZTF17aaazdba,ZTF17aaazdba_20190324_P60_v1.ascii,53623583,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.12,0.2818
20,ZTF17aaazdba,ZTF17aaazdba_20190328_DCT_v3.ascii,53623584,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,5.1,0.0592
21,ZTF17aaazdba,ZTF17aaazdba_20190330_P60_v1.ascii,53623585,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,0,6.47,0.0236
22,ZTF17aaazdba,ZTF17aaazdba_20190406_P60_v1.ascii,53623586,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,0,6.27,0.0238
23,ZTF17aaazdba,ZTF17aaazdba_20190417_P60_v1.ascii,53623587,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,7.12,0.0172
24,ZTF17aaazdba,ZTF17aaazdba_20190424_P60_v1.ascii,53623588,0,0,0,0,0,0,0,0,0,0,0,0,0,1,8,0,0,0,0,0,0,0,0,0,0,0,0,6.15,0.7381
